LOCATION,ADDRESS,the_geom,event_time,duration,end_time,openclose
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-27T10:00:00,28800.0,2016-10-27T18:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-27T18:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-28T10:00:00,28800.0,2016-10-28T18:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-28T18:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-29T10:00:00,28800.0,2016-10-29T18:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-29T18:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-30T11:00:00,18000.0,2016-10-30T16:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-30T16:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-31T10:00:00,28800.0,2016-10-31T18:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-31T18:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-11-01T10:00:00,28800.0,2016-11-01T18:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-11-01T18:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-11-02T10:00:00,28800.0,2016-11-02T18:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-11-02T18:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-11-03T09:00:00,36000.0,2016-11-03T19:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-11-03T19:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-11-04T09:00:00,36000.0,2016-11-04T19:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-11-04T19:00:00,,,-1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-10-22T11:00:00,18000.0,2016-10-22T16:00:00,1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-10-22T16:00:00,,,-1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-10-25T11:00:00,25200.0,2016-10-25T18:00:00,1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-10-25T18:00:00,,,-1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-10-26T11:00:00,25200.0,2016-10-26T18:00:00,1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-10-26T18:00:00,,,-1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-10-27T11:00:00,25200.0,2016-10-27T18:00:00,1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-10-27T18:00:00,,,-1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-10-29T11:00:00,18000.0,2016-10-29T16:00:00,1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-10-29T16:00:00,,,-1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-11-01T11:00:00,25200.0,2016-11-01T18:00:00,1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-11-01T18:00:00,,,-1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-11-02T11:00:00,25200.0,2016-11-02T18:00:00,1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-11-02T18:00:00,,,-1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-11-03T11:00:00,25200.0,2016-11-03T18:00:00,1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-11-03T18:00:00,,,-1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-11-04T11:00:00,25200.0,2016-11-04T18:00:00,1
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,2016-11-04T18:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-22T11:00:00,18000.0,2016-10-22T16:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-22T16:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-24T11:00:00,25200.0,2016-10-24T18:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-24T18:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-25T11:00:00,25200.0,2016-10-25T18:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-25T18:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-26T11:00:00,25200.0,2016-10-26T18:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-26T18:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-27T11:00:00,25200.0,2016-10-27T18:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-27T18:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-29T11:00:00,18000.0,2016-10-29T16:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-29T16:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-31T11:00:00,25200.0,2016-10-31T18:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-10-31T18:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-11-01T11:00:00,25200.0,2016-11-01T18:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-11-01T18:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-11-02T11:00:00,25200.0,2016-11-02T18:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-11-02T18:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-11-03T11:00:00,25200.0,2016-11-03T18:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-11-03T18:00:00,,,-1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-11-04T11:00:00,25200.0,2016-11-04T18:00:00,1
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,2016-11-04T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-22T10:00:00,28800.0,2016-10-22T18:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-22T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-23T11:00:00,18000.0,2016-10-23T16:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-23T16:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-24T10:00:00,28800.0,2016-10-24T18:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-24T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-25T10:00:00,28800.0,2016-10-25T18:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-25T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-26T10:00:00,28800.0,2016-10-26T18:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-26T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-27T10:00:00,28800.0,2016-10-27T18:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-27T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-28T10:00:00,28800.0,2016-10-28T18:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-28T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-29T10:00:00,28800.0,2016-10-29T18:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-29T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-30T11:00:00,18000.0,2016-10-30T16:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-30T16:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-31T10:00:00,28800.0,2016-10-31T18:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-10-31T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-11-01T10:00:00,28800.0,2016-11-01T18:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-11-01T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-11-02T10:00:00,28800.0,2016-11-02T18:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-11-02T18:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-11-03T09:00:00,36000.0,2016-11-03T19:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-11-03T19:00:00,,,-1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-11-04T09:00:00,36000.0,2016-11-04T19:00:00,1
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,2016-11-04T19:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-22T10:00:00,28800.0,2016-10-22T18:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-22T18:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-23T11:00:00,18000.0,2016-10-23T16:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-23T16:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-24T10:00:00,28800.0,2016-10-24T18:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-24T18:00:00,,,-1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-25T10:00:00,28800.0,2016-10-25T18:00:00,1
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,2016-10-25T18:00:00,,,-1
